TIP_ECOV,TIP_VEG,OTROS,DESCRIPCIO,HEMEROBIA
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,ACUÍCOLA,NA
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE HUMEDAD ANUAL,13
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE HUMEDAD ANUAL Y PERMANENTE,13
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE HUMEDAD ANUAL Y SEMIPERMANENTE,13
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE HUMEDAD PERMANENTE,13
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE HUMEDAD SEMIPERMANENTE,13
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE HUMEDAD SEMIPERMANENTE Y PERMANENTE,13
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE RIEGO ANUAL,12
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE RIEGO ANUAL Y PERMANENTE,12
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE RIEGO ANUAL Y SEMIPERMANENTE,12
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE RIEGO PERMANENTE,12
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE RIEGO SEMIPERMANENTE,12
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE RIEGO SEMIPERMANENTE Y PERMANENTE,12
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE TEMPORAL ANUAL,11
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE TEMPORAL ANUAL Y PERMANENTE,11
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE TEMPORAL ANUAL Y SEMIPERMANENTE,11
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE TEMPORAL PERMANENTE,11
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE TEMPORAL SEMIPERMANENTE,11
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,AGRICULTURA DE TEMPORAL SEMIPERMANENTE Y PERMANENTE,11
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,ASENTAMIENTOS HUMANOS,15
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE CULTIVADO,6
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE DE AYARÍN,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE DE CEDRO,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE DE ENCINO,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE DE ENCINO-PINO,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE DE GALERÍA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE DE MEZQUITE,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE DE OYAMEL,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE DE PINO,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE DE PINO-ENCINO,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE DE TÁSCATE,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE INDUCIDO,6
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,BOSQUE MESÓFILO DE MONTAÑA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,CHAPARRAL,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,CUERPO DE AGUA,NA
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,DESPROVISTO DE VEGETACIÓN,14
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MANGLAR,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MATORRAL CRASICAULE,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MATORRAL DESÉRTICO MICRÓFILO,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MATORRAL DESÉRTICO ROSETÓFILO,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MATORRAL ESPINOSO TAMAULIPECO,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MATORRAL ROSETÓFILO COSTERO,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MATORRAL SARCO-CRASICAULE,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MATORRAL SARCO-CRASICAULE DE NEBLINA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MATORRAL SARCOCAULE,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MATORRAL SUBMONTANO,2
